id	ecosystem	type	date	title	url	project	icon
tvtropes-TheLancer-20150530133616	otherwikis	edit	2015-05-30T13:36:16.000Z	The Lancer	https://tvtropes.org/pmwiki/article_history.php?article=Main.TheLancer&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-TheLancer-20150530133536	otherwikis	edit	2015-05-30T13:35:36.000Z	The Lancer	https://tvtropes.org/pmwiki/article_history.php?article=Main.TheLancer&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-FantasyCharacterClasses-20130907114040	otherwikis	edit	2013-09-07T11:40:40.000Z	Fantasy Character Classes	https://tvtropes.org/pmwiki/article_history.php?article=Main.FantasyCharacterClasses&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-ThroughTheEyesOfMadness-20120606101839	otherwikis	edit	2012-06-06T10:18:39.000Z	Through The Eyes Of Madness	https://tvtropes.org/pmwiki/article_history.php?article=Main.ThroughTheEyesOfMadness&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-EasierThanEasy-20120308153648	otherwikis	edit	2012-03-08T15:36:48.000Z	Easier Than Easy	https://tvtropes.org/pmwiki/article_history.php?article=Main.EasierThanEasy&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-PunctuationShaker-20111214051843	otherwikis	edit	2011-12-14T05:18:43.000Z	Punctuation Shaker	https://tvtropes.org/pmwiki/article_history.php?article=Main.PunctuationShaker&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-FutureSlang-20111214051634	otherwikis	edit	2011-12-14T05:16:34.000Z	Future Slang	https://tvtropes.org/pmwiki/article_history.php?article=Main.FutureSlang&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-LeetLingo-20111214051607	otherwikis	edit	2011-12-14T05:16:07.000Z	Leet Lingo	https://tvtropes.org/pmwiki/article_history.php?article=Main.LeetLingo&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-TechnologyPorn-20111214051531	otherwikis	edit	2011-12-14T05:15:31.000Z	Technology Porn	https://tvtropes.org/pmwiki/article_history.php?article=Main.TechnologyPorn&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-DeadlyUpgrade-20111214050341	otherwikis	edit	2011-12-14T05:03:41.000Z	Deadly Upgrade	https://tvtropes.org/pmwiki/article_history.php?article=Main.DeadlyUpgrade&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-PhlebotinumOverdose-20111214050333	otherwikis	edit	2011-12-14T05:03:33.000Z	Phlebotinum Overdose	https://tvtropes.org/pmwiki/article_history.php?article=Main.PhlebotinumOverdose&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-GoingToGiveItMoreEnergy-20111214050257	otherwikis	edit	2011-12-14T05:02:57.000Z	Going To Give It More Energy	https://tvtropes.org/pmwiki/article_history.php?article=Main.GoingToGiveItMoreEnergy&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-TechnoBabble-20111214050003	otherwikis	edit	2011-12-14T05:00:03.000Z	Techno Babble	https://tvtropes.org/pmwiki/article_history.php?article=Main.TechnoBabble&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-MagiBabble-20111214045751	otherwikis	edit	2011-12-14T04:57:51.000Z	Magi Babble	https://tvtropes.org/pmwiki/article_history.php?article=Main.MagiBabble&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-YeOldeButcheredeEnglishe-20111214043138	otherwikis	edit	2011-12-14T04:31:38.000Z	Ye Olde Butcherede Englishe	https://tvtropes.org/pmwiki/article_history.php?article=Main.YeOldeButcheredeEnglishe&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-PhantasySpelling-20111214043018	otherwikis	edit	2011-12-14T04:30:18.000Z	Phantasy Spelling	https://tvtropes.org/pmwiki/article_history.php?article=Main.PhantasySpelling&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-AwesomeMcCoolname-20111214042848	otherwikis	edit	2011-12-14T04:28:48.000Z	Awesome Mc Coolname	https://tvtropes.org/pmwiki/article_history.php?article=Main.AwesomeMcCoolname&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-Letters2Numbers-20111214042745	otherwikis	edit	2011-12-14T04:27:45.000Z	Letters 2 Numbers	https://tvtropes.org/pmwiki/article_history.php?article=Main.Letters2Numbers&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-XtremeKoolLetterz-20111214042511	otherwikis	edit	2011-12-14T04:25:11.000Z	Xtreme Kool Letterz	https://tvtropes.org/pmwiki/article_history.php?article=Main.XtremeKoolLetterz&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-NamesGivenToComputers-20111214042409	otherwikis	edit	2011-12-14T04:24:09.000Z	Names Given To Computers	https://tvtropes.org/pmwiki/article_history.php?article=Main.NamesGivenToComputers&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-RobotNames-20111214042345	otherwikis	edit	2011-12-14T04:23:45.000Z	Robot Names	https://tvtropes.org/pmwiki/article_history.php?article=Main.RobotNames&troper_name=Waldir	TVTropes	tvtropes.org
tvtropes-NameTron-20111214042313	otherwikis	edit	2011-12-14T04:23:13.000Z	Name Tron	https://tvtropes.org/pmwiki/article_history.php?article=Main.NameTron&troper_name=Waldir	TVTropes	tvtropes.org
